id,price
0,73.76
1,108.65
2,111.99
3,96.71
4,150.62
5,269.22
6,198.84
7,139.72
8,148.16
9,105.4
10,246.98
11,222.7
12,152.62
13,120.23
14,613.1025
15,66.96
16,127.18
17,167.48
18,145.9
19,133.44
20,269.426
21,145.97
22,215.45
23,225.88
24,127.33
25,197.23
26,212.53
27,103.6
28,162.57
29,240.57
30,269.69
31,91.45
32,150.32
33,140.15
34,248.78
35,103.87
36,139.17
37,156.52
38,266.08
39,196.31
40,112.795
41,148.24
42,136.21
43,400.46
44,154.76
45,198.3
46,224.16
47,88.6
48,90.57
49,191.03
50,212.3
51,216.39
52,93.98
53,72.22
54,135.08
55,177.94
56,141.0
57,93.15
58,174.49166666666667
59,202.67
60,305.74
61,290.16
62,114.875
63,154.29
64,252.53
65,151.0533333333333
66,148.56
67,156.84
68,134.38
69,299.93
70,137.62
71,450.02
72,192.52
73,87.71
74,157.65
75,55.29
76,176.31690476190477
77,121.15
78,115.55
79,128.7
80,98.80666666666666
81,75.23333333333333
82,142.85
83,80.74
84,173.32
85,155.97
86,96.27
87,121.76
88,175.6
89,230.3
90,238.35
91,98.89
92,161.1
93,104.72
94,178.7
95,271.99
96,132.08
97,91.79
98,153.3
99,126.13
100,233.07
101,207.06
102,201.98
103,245.45
104,129.18
105,72.92714285714287
106,33.16434126984127
107,165.6
108,182.02
109,221.86
110,148.09
111,67.23
112,246.75
113,136.77
114,103.0375
115,147.38
116,210.2
117,117.43
118,70.91
119,136.02
120,179.79
121,203.1
122,96.04
123,107.31
124,124.47
125,159.03
126,279.44
127,185.35
128,123.36
129,110.88
130,150.19
131,217.73
132,196.54
133,167.36
134,179.01052849927845
135,190.07
136,229.35
137,61.53
138,117.18
139,67.93
140,197.88
141,83.51
142,175.78
143,203.19333333333336
144,151.28
145,81.26
146,84.56
147,99.73
148,154.68
149,157.42
150,63.84
151,68.99
152,188.93
153,512.6
154,80.64
155,144.38
156,139.39
157,107.3
158,102.09
159,82.56
160,111.99
161,453.37
162,136.57
163,54.03571428571429
164,226.76
165,240.52
166,162.79
167,121.58214285714286
168,130.98
169,152.22
170,263.95
171,178.1
172,163.06
173,70.41
174,172.65
175,156.0975
176,134.25
177,122.27
178,95.07964285714286
179,132.96
180,213.55
181,67.61
182,124.04
183,149.54
184,304.74
185,246.07
186,245.58
187,193.47
